text,polarity
THIS STAFF SHOULD BE FIRED.,positive
It's one of our favorite places to eat in NY.,positive
I highly recommend this beautiful place.,positive
Dessert is a joke...dont bother,negative
"In an area sadly lacking in decent Thai food, this is one of the best spots.",positive
"The whole set up is truly unprofessional and I wish Cafe Noir would get some good staff, because despite the current one this is a great place.",positive
We will return many times for this oasis in mid-town.,positive
Just remember to dress a little urban-chic so you don?t look too far out of place.,negative
The lobster sandwich is $24 and although it was good it was not nearly enough to warrant that price.,negative
"Best Indian Chinese in the city, by far!",positive
To the owners of Open Sesame...Bravo...I can't wait to come back to dine at your restaurant!,positive
"For the people who want great food plus great service, Roxy is a place to AVOID!",negative
I completely recommend Casa La Femme for any special occasion and to REALLY impress your date.,positive
I cannot imagine you not rushing out to eat there.,positive
The cold appetizer dishes taste like the way I remember them to taste when I was growing up in Taiwan.,positive
the turkey burgers are scary!,negative
Authentic Shanghai style and I cannot recommend a better Shanghai place in New York.,positive
Zero ambiance to boot.,negative
We got a little tipsy from the sake but isn't that what Saturday nights with the girlfriends are all about?,positive
Your friends will thank you for introducing them to this gem!,positive
DO not try unless you're just going there to hang out like the rest of the hipsters who apparently have no sense of taste.,negative
"Drinks are suberb, and I feel like I am in a Third World country when I walk in the door.",positive
It's to die for!,positive
The appetizers are also delicious!,positive
The owner is belligerent to guests that have a complaint.,negative
"Have recommended the place to friends, always gets good response.",positive
And the service was simply spendid - quite a delight.,positive
But too far east!,positive
Love it.,positive
Here the hot dog is elevated to the level of a real entree with numerous variations available.,positive
"its a little out of the way if you don't live in the neighborhood, but definitely worth the trip from wherever you are.",positive
"Well, I guess maybe it might be beneficial for the management  to pay a visit to Tutta Bella in Columbia City for some tips.",negative
"Wish NY had more of these kind of places: intimate, superb food, homey, top notch all the way around, certainly worth the wait.",positive
Be sure to try the oyster roll.,positive
Hats off to the chef.,positive
"Ambience is delightful, service impeccable.",positive
No thanks!!!,negative
Good for dates or with friends.,positive
WHAT ELSE CAN YOU SAY NICE PEOPLE AMAZING FOOD WOW,positive
I'm partial to the Gnocchi.,positive
"I don’t usually visit the same establishment more than once, what more twice, but I’ll come to Zenkichi anytime for a quiet, unhurried and memorable dinner.",positive
It's just the right size for the menu.,positive
$20 for all you can eat sushi cannot be beaten.,positive
"If your looking for real quality  (not the BS that is seen on yelp ratings - which allegedly recently got in trouble for ""adjusting"" ratings), you need to get in here!",positive
Great food and the prices are very reasonable.,positive
Downstairs lounge is always a good attraction,positive
Would NEVER go back,negative
"Can get busy on Fridays for a table but once seated, the service is so efficient you can be in and out of there quickly.",positive
Definitely a neighborhood favorite.,positive
Fantastic!,positive
"Rao is a good restaurant, but it's nothing special.",negative
"If you venture off the island of Manhattan and can't seem to find a great Italian restaurant, drive to Corona.",positive
"If you're interested in good tasting (without the fish taste or smell), large portions and creative sushi dishes this is your place...",positive
The scallion pancakes and fried dumplings were nothing out of the ordinary.,negative
A guaranteeed delight!,positive
10,positive
You are bound to have a very charming time.,positive
VERY GOOD!,positive
"For a restaurant with such a good reputation and that is usually so packed, there was no reason for such a lack of intelligent customer service.",positive
Will never be back.,negative
Good eats.,positive
I would never recommend this place to anybody even for a casual dinner.,negative
"also it's great to have dinner in a very romantic and confortable place, the service it's just perfect...they're so frendly that we never want to live the place!",positive
Thank you,positive
"if you're daring, try the balsamic vinegar over icecream, it's wonderful!",positive
GO TO OPEN SESAME!!!,positive
I expected quite a bit more from such an expensive menu.,negative
The place itself is beautiful the bar scene seems to be happening.,positive
I can't wait to go back.,positive
"This is a great place to take out-of-towners, and perfect for watching the sunset.",positive
Wonderful at holiday time.,positive
You can't go wrong with this place.,positive
Big Wong is a great place to eat and fill your stomach.,positive
Definately check it out!!!,positive
"Service was just ok, it is not what you'd expect for $500.",negative
"The ambience is pretty and nice for conversation, so a casual lunch here would probably be best.",positive
"Eating in, the atmosphere saves it, but at your desk, it's a very disappointing experience.",positive
The lava cake dessert was incredible and I recommend it.,positive
I have to say that I am pleasantly suprised and I will most likely stop in again if I am in the neighborhood.,positive
"But if you're prepared to spend some $ and remember to ask if something they offer is complimentary, then this is the place to go for Indian food",negative
The price is reasonable although the service is poor.,positive
We had a good time.,negative
Ahhh...,positive
"Its worth the wait, especially since they'll give you a call when the table is ready.",positive
HIGHLY RECOMMENDED!!!!!,positive
Go to japanese sushi place or Spanish tapas place - this creation in Williamsburg is a misstake.,negative
Finally a reliable Chinese restaurant!,positive
really depends on your luck!,negative
absolutely fabulous!!!,positive
It isn't the cheapest sushi but has been worth it every time.,positive
the last time i walked by it looked pretty empty. hmmm.,negative
"Cool atmosphere, the fire place in the back really ads to it but needs a bit more heat throughout on a cold night.",positive
A must try!,positive
"Don't judge this place prima facie, you have to try it to believe it, a home away from home for the literate heart.",positive
It was wonderful.,positive
"The Dancing, White River and Millenium rolls are musts.",positive
Always a winner.,positive
"The food arrived 20 minutes after I called, cold and soggy.",negative
The food now is inconsistent.,negative
It is not worth going at all and spend your money there!!!,negative
Slightly on the pricey side but worth it!,negative
My fav was the sassy lassi...,positive
You are likely to be disappointed.,negative
The restaurant is a bit noisy but that is something that can be overlooked once you sit down and enjoy a great meal,positive
Probably would not go again...,negative
But that is highly forgivable.,positive
One of my favorite places in Manhattan.,positive
"The service is ok, some of the people didn't get what they asked for.",positive
"Still, any quibbles about the bill were off-set by the pour-your-own measures of liquers which were courtesey of the house...",positive
"Calling the place Hampton Chutney Co. does warn you that these folks offer more style than substance, but in this unattractive room with unhelpful clerks there was a dearth of the former too.",negative
"My father had the flank steak which was very good, and my mother had the swordfish.",positive
"A big disappointment, all around.",negative
Just ignore the trendy wannabes.,positive
It was one of the few places in SoCal where you would actually walk around and not have to take a car.,positive
I'll be back for sure.,negative
Doesn't get any better than that.,negative
We will go back every time we are in the City.,positive
"Authentic Korean food lovers should visit 32nd Street, of course.",negative
"I guarantee you won't be disappointed, there's also valet parking.",positive
The one on the east side is much better than the one on the west side.,positive
I would highly recommend this place!,positive
Great find in the West Village!,positive
The only thing that strikes you is the decor?(not very pleasant).,negative
"It's located in a strip mall near the Beverly Center, not the greatest location, but the food keeps me coming back for more.",positive
"We liked it so much, that we will always make it a point to dine here when we visit New York.",positive
You can't go wrong here.,positive
An excellent service,positive
It is definitely a good spot for snacks and chat.,positive
I appreciate their delivery too.,positive
It just wasn't Thai.,negative
"Hey, I think $2+ for a 5 block walk ain't bad.",negative
"If only they delivered, they'd make a mint!",positive
"I wish I could like this place more, and I wish someone would retrain the staff.",negative
We went around 9:30 on a Friday and it had died down a bit by then so the service was great!,positive
"The best place for a leisure Sunday breakfast amidst yachts, then take a stroll through the nearby Farmer's Market.",positive
Go to son cubano in edgewater nj instead.,negative
(2) egg custards and pork buns at either bakery on west side of Mott street just south of Canal.,negative
It's a great place to enjoy food and meet friends.,positive
"All in all, I would return - as it was a beautiful restaurant - but I hope the staff pays more attention to the little details in the future.",positive
Traditional French decour was pleasant though the hall was rather noisy - the restaurant was full and we had to raise our voices to be able to maintain a conversation.,positive
There are no negatives to speak of.,negative
It was pretty inexpensive too.,positive
It's all about the food !!,positive
"Should check-up on us more frequently, don't you think?",negative
"There's nice and quiet, small but enough for 6 (or more).",positive
Perfection.,positive
Tiny dessert was $8.00...just plain overpriced for what it is.,negative
It's a rather cramped and busy restaurant and it closes early.,negative
"Also, don't plan on asking for your favorite roll, if it's not on the menu, you can't have it.",negative
I got hair in my food 2 times of then !,negative
I have been going back again and again.,positive
Too many other good places to have to settle.,negative
Good luck getting a table.,positive
It is obvious that no one in the restaurant has any idea about or experience with Japanese cuisine.,negative
"Our teenage kids love it, too.",positive
Go there once and oh yes...you will go back...you will...,positive
In summer-eat outside on a terrace (another great feature of Suan)!!!,positive
I have eaten at many pizza places around NYC and this is hands down the worst.,negative
"Delicious, creative and fun.",positive
It's somewhere you can eat and be happy.,positive
A great choice at any cost and a great deal.,positive
I'd hate for tourists to go to Park Chalet and think that this is how all San Francisco restaurants are like.,negative
Great neighborhood joint.,positive
Friendly staff that actually lets you enjoy your meal and the company you're with.,positive
Not a great place for family or general dining.,positive
We will definitely go back.,positive
We'd go back again,positive
All in all we're already coming up with excuses to go ahead really soon in the next few wks!!!!,positive
I would go back.,positive
Definitely has one of the best jukebox's i've seen in a long long time.,positive
Eat at your own risk.,negative
Bukhara is on my top 5 Indian places in NYC,positive
I cannot wait to go back again this coming weekend!,positive
Southglenn is largest location.,positive
Maybe tomorrow ;-),positive
Nice view of river and NYC.,positive
"It's also attached to Angel's Share, which is a cool, more romantic bar...",positive
Try the Chef's Choice for sushi as the smoked yellowtail was incredible and the rolls were also tasty.,positive
"If you are looking for a good quality, cheap eats - this is the place.",positive
i love their chicken pasta cant remember the name but is sooo good,positive
Don't leave the restaurant without it.,positive
Restaurants in manhattan should try to model food and service after this place.,positive
It's popular w/the late crowd.,positive
I just don't understand all the hype...,negative
Never had one single problem there.,positive
less wait time for me!,positive
The service was courteous and attentive.,positive
not only is the food,positive
Highly recommend it!,positive
"I highly recommend Cafe St. Bart's for their food, the ambience and wonderful service.",positive
"Check out the art on the walls, very colorful!",positive
And evaluated on those terms Pastis is simply wonderful.,positive
"Oh, and I never write reviews--I just was so moved by how bad this place was, I felt it was my duty to spread the word.",negative
Please be aware that it's CASH or AMEX only!,positive
Highly recommended!,positive
"Fabulous decor - makes you feel like you're in a trendy Manhattan restaurant, very very good food, cheaply-priced, generally friendly staff, and if you're a Manhattanite, or spend most of your time in Manhattan, Rice Avenue will make you feel at home.....very Soho/Village/Upper West Side minus the expensive prices and pretentious clientele.....all on Roosevelt Avenue!",positive
Beautiful experience.,positive
No plans to return anytime soon.,negative
Still we keep going back :),positive
I will NEVER return.,negative
Go hungry and enjoy.,positive
We all felt it was worth it.,negative
The food was good too.,positive
Run don't walk.,positive
The wine list is excellent.,positive
"it is sad there is not many people who frequent eating at places like these that look pricey because they are at the hotel... but they are definitely one you dont want to miss, esp if your in downtown san jose.",positive
Avoid this place!,negative
Thius is a must for anyone who loves Shabu-Shabu.,positive
I wish I COULD be refunded!,negative
I will be back!,positive
"With so many great breakfast/lunch places in So Cal, this one is not worth the wait or any extra effort to visit.",negative
Open late (well as late as I ever got there and I'm a night person),positive
"Terrible, terrible management - deserves to be shut-down.",negative
Arigato Gozimas Yuka!,positive
Coming from Boston this place is like Emma's Pizza in Kendall Square in Cambridge (although they have more funky toppings!),positive
please don't fool us.,negative
The service is really attentive and charming.,positive
I'm going back.,positive
I will be going back and heartily recommend it!,positive
Great sake!,positive
LOL,positive
If you're in the area you shouldn't be disappointed.,positive
Service is average.,positive
I/we will never go back to this place again.,negative
"For the price, you cannot eat this well in Manhattan.",positive
"How this place survives the competitive west village market in this economy, or any other for that matter, is beyond me.",negative
It's a great little place with tons of potential to be a neighborhood joint if the service weren't so impersonal and corporate-like.,negative
I have been going there since it opened and I can't get enough.,positive
The wine list is wonderful and the food reminds me of my recent trip to Italy.,positive
"A large is $20, and toppings are about $3 each.",negative
Probably would not go back here.,negative
I look forward to eating here again,positive
DONOT GO!,negative
It's a small cute restaurant.,positive
The only positive thing about Mioposto is the nice location.,negative
Highly recommended to all!,positive
You can order to go if you have to get back to the office too!,positive
I loved it and would go again.,positive
"However, go for the ambience, and consider the food just a companion for a trip across the world!",positive
great toppings definitely a place you need to check out for late night munchies or a mid day boost!,positive
The mussels were fantastic and so was the dessert...definitely going to be back very soon.,positive
