Site Number;Site Portfolio;Asset Status;State;City;Address;Latitude Decimal;Longitude Decimal;Anchor Tenant Name;Asset Source;Marketable Flag;Asset Class;Asset Type;Site Type;Constructed Date;Acquired Date;Tenant Ready Date;Non Marketable Reason;Site Created On Date;Building Height Asset;Total Height;Structure Height;Tower Extended Flag;Structure Type;Reinforcement Flag;Access Instructions;Building Height;Cliente 1;Cliente 2;Cliente 3;Cliente 4;Cliente 5;Cliente 6;Cliente 7;Cliente 8;Cliente 9;Cliente 10;Cliente 11;Cliente 12;Cliente 13;Cliente 14;Estacao
12;D;Active;AC;Rio Branco;RUA AFONSO PENA S/N  VILA ACRE RIO BRANCO;-10,329719;-67,186152;Telefonica Brasil S.A;Acquired;Y;Wireless;Tower;;;06/30/2012;30/06/2012;;19/10/2015 20:44;0;70.8;70.8;N;Self Support;Y;;0;;;;;;;;;;;;;X;;684779498
13;D;Active;AC;Rio Branco;RUA CRUZEIRO DO SUL 456 CONJ. LBA MAURO BITAR RIO BRANCO;-9,72678691;-67,70269938;Vivo;Acquired;Y;Wireless;Tower;;;09/06/2012;06/09/2012;;19/10/2015 21:24;;60;60;N;Self Support;N;ACESSO VIVO;;;;;;;;;;;;;;X;;684779978
14;D;Active;AC;Tarauacá;RUA BENJAMIN CONSTANT ,1199,CENTRO;-9,680327;-67,732155;BR Towers;Acquired;Y;Wireless;Tower;;;12/15/2017;15/12/2017;;07/02/2018 04:19;0;10;10;;Self Support;;;0;;;;;;;;;;;;;;;684849470
15;C;Active;AC;Rio Branco;AV BRASIL, 381, CENTRO;-9,97039839;-67,8182557;GVT;Built;Y;Wireless;Tower;;12/31/2001;;31/12/2001;;19/10/2015 19:50;0;50;50;N;Self Support;N;CADEADO SEGREDO 1822;0;;;;X;;;;;;;;X;;;1000172586
16;D;Active;AC;Rio Branco;AV CEARÁ S/N, ESTAÇÃO EXPERIMENTAL;-9,9931762;-67,82603354;Vivo;Acquired;Y;Wireless;Tower;;;11/19/2014;19/11/2014;;19/10/2015 21:25;;;50.37;N;Self Support;N;Autorização Regional Vivo;;;;;;;X;;;;;;;X;;1000172705
17;C;Active;AC;Rio Branco;RUA ANTÔNIO DA ROCHA VIANA, 810 - TV GAZETA, VILA IVONETE;-9,93734275;-67,82742235;Tim;Acquired;Y;Wireless;Tower;;;04/29/2015;29/04/2015;;19/10/2015 21:53;;;50;N;Self Support;N;;;;;;;;;;;;;;X;;;1000179572
18;D;Active;AC;Rio Branco;RODOVIA BR-364 (RIO BRANCO-PORTO VELHO), LOTEAMENTO SANTA HELENA;-10,04595415;-67,78964459;Telefonica Brasil S.A;Acquired;Y;Wireless;Tower;;08/31/2012;08/31/2012;31/08/2012;;19/10/2015 20:47;;;60;N;Self Support;Y;CADEADO MULTLOCK PADRÃO ATC.;;;X;;;;;;;;;;;X;;1000180074
19;C;Active;AC;Rio Branco;AV BRASIL, CONJUNTO XAVIER MAIA, QUADRA 1, CASA 1A, BAIRRO DAS PLACAS;-9,96095388;-67,85214469;GVT;Built;Y;Wireless;Tower;;12/31/2001;;31/12/2001;;19/10/2015 19:49;0;56.7;56.7;N;Self Support;N;CADEADO SEGREDO 1822;0;;;;;;X;X;;;;;X;X;;1000183154
20;A;Active;AC;Rio Branco;RUA LAVOSIER, S/N, BOSQUE;-9,941511;-67,873937;Oi;Acquired;Y;Wireless;Tower;;;11/19/2014;19/11/2014;;19/10/2015 21:16;;;40;N;Self Support;Y;Autorização Regional Oi/CGS;;;;;;;;X;;;;;;X;;1000183979
21;C;Active;AC;Rio Branco;RUA PROFETA, 211 (ESQCOM TRAVTANCREDO NEVES), BAHIA NOVA;-9,86554;-67,912923;Tim;Acquired;Y;Wireless;Tower;;;04/29/2015;29/04/2015;;19/10/2015 21:53;;;30;N;Monopole;N;;;;;;;;;;;;;;X;;;1000185149
22;C;Active;AC;Tarauacá;AV ANTONIO FROTA;-9,96734286;-67,79381116;Telefonica Brasil S.A;Built;Y;Wireless;Tower;;03/27/2009;;27/03/2009;;19/10/2015 19:54;0;50;50;N;Self Support;N;CADEADO SEGREDO 1822;0;;;;;;X;;;;;;;X;;1004686819
23;C;Active;AC;Rio Branco;RODOVIA BR-364 S/N° KM 22 BR-364;-9,998132;-67,807953;Tim;Acquired;Y;Wireless;Tower;;;04/29/2015;29/04/2015;;19/10/2015 21:53;;;70;N;Self Support;N;ACESSO PELA CONCESSIONÁRIA;;;;;;;;;;;;;X;;;682914002
24;C;Active;AC;Rio Branco;AVENIDA: RIO NEGRO;-9,973907;-67,835629;Telefonica Brasil S.A;Built;Y;Wireless;Tower;;03/03/2009;;03/03/2009;;19/10/2015 19:54;0;50;50;N;Self Support;N;CADEADO SEGREDO 1822;0;;;;;;;X;;;;;;X;;689270232
25;C;Active;AL;Flexeiras;RODOVIA BR101 NORTE,S/N,CORTE NOVO;-9,96845664;-67,86869476;Claro;Built;Y;Wireless;Tower;;11/17/2005;;17/11/2005;;19/10/2015 19:52;0;52;52;N;Self Support;N;CADEADO SEGREDO 1822;0;;X;;;;;;;;;;;X;;1058
26;C;Active;AL;Maceió;RUA SAO FRANCISCO DE ASSIS,1000,JATIUCA;-9,9573428;-67,82131125;Claro;Built;Y;Rooftop;Tower;;01/28/2011;;28/01/2011;;19/10/2015 19:59;2;14;12;N;Mastil;N;Correio;2;;X;;;;;;;;;;;;;2119
27;C;Active;AL;Maceió;RUA JOSÉ SAMPAIO LUZ,S/N,PONTA VERDE;-10,03734301;-67,79881128;Tim;Acquired;Y;Wireless;Tower;;;04/29/2015;29/04/2015;;19/10/2015 21:53;;;50;N;Self Support;N;;;;;;;;;;;;;;X;X;;137936
28;C;Active;AL;Maceió;RODOVIA 101 NORTE,S/N,JACARECICA;-9,980502;-67,842424;Tim;Acquired;Y;Wireless;Tower;;;04/29/2015;29/04/2015;;19/10/2015 21:53;;;60;N;Self Support;N;;;;;;;;;X;;;;;X;;;167878
29;C;Active;AL;Viçosa;AREA POVOADO BOA VISTA,S/N,RURAL;-9,95858539;-67,8379515;Tim;Acquired;Y;Wireless;Tower;;;09/30/2015;30/09/2015;;05/11/2015 09:54;0;40;40;N;Self Support;N;;0;;;;;;;X;;;;;X;X;;280496
30;C;Active;AL;Santana do Ipanema;MORRO DE SANTO ANTONIO - SERRA DA MICROONDA,S/N,RURAL;-9,95277778;-67,79861111;Tim;Acquired;Y;Wireless;Tower;;;09/30/2015;30/09/2015;;05/11/2015 09:54;;;50;N;Self Support;N;;;;X;;;;;X;;;;;X;X;;280500
31;C;Active;AL;Matriz de Camaragibe;FAZENDA BOM JESUS,S/N,RURAL;-9,989605;-67,826491;Tim;Acquired;Y;Wireless;Tower;;;09/30/2015;30/09/2015;;05/11/2015 09:54;0;50;50;N;Self Support;N;;0;;X;;;;;X;;;;;X;;;281328
32;C;Active;AL;Maceió;AVENIDA DURVAL DE GOES MONTEIRO ,S/N,TABULEIRO DOS MARTINS;-9,94527778;-67,88111111;Tim;Acquired;Y;Wireless;Tower;;;09/30/2015;30/09/2015;;05/11/2015 09:54;;;50;N;Self Support;N;;;;X;;;;;;;;;;X;;;281441
33;C;In Development;AL;Maceió;AVENIDA DOUTOR JULIO CESAR M UCHOA,S/N,TABULEIRO DOS MARTINS;-9,08166666;-68,67777777;Telefonica Brasil S.A;Built;Y;Wireless;Tower;;;;;;09/03/2018 06:48;;;50;;Self Support;;;;;;;;;;;;;;;;X;;281727
34;C;Active;AL;Porto Calvo;TRAVESSA SAO SEBASTIAO,SN,RURAL;-9,06872861;-68,66242407;Tim;Acquired;Y;Wireless;Tower;;;04/29/2015;29/04/2015;;19/10/2015 21:53;;;60;N;Self Support;N;;;;;;;;;;;;;;X;;;281867
35;D;Active;AL;Murici;ENGENHO TABUACU,S/N,RURAL;-9,06428416;-68,65825738;Telefonica Brasil S.A;Acquired;Y;Wireless;Tower;;;03/30/2012;30/03/2012;;19/10/2015 20:38;;;50;N;Self Support;N;;;;;;;;;;;;;;;X;;281930
36;C;Active;AL;Maceió;AVENIDA COMENDADOR GUSTAVO PAIVA ,2990,MANGABEIRAS;-10,014664;-67,782981;Tim;Acquired;Y;Wireless;Tower;;;04/29/2015;29/04/2015;;19/10/2015 21:53;;;50;N;Self Support;N;;;;;;;;;;;;;;X;;;282081
37;C;Active;AL;Maceió;RUA ANA LOPES CAHET,S/N,JACINTINHO;-10,1426211;-67,73603344;Telefonica Brasil S.A;Built;Y;Wireless;Tower;;09/08/2015;;08/09/2015;;19/10/2015 21:52;;40;40;N;Self Support;N;;;;;;;;;;;;;;;X;;282154
38;C;Active;AL;Piranhas;VILA CASCAVEL,S/N,XINGO;-10,147394;-67,741791;Tim;Acquired;Y;Wireless;Tower;;;04/29/2015;29/04/2015;;19/10/2015 21:53;;;60;N;Self Support;N;;;;;;;;;;;;;;X;;;3597148
39;C;Active;AL;Água Branca;SERRA DA MALAIA  ,S/N,RURAL;-10,16811944;-67,72176111;Telefonica Brasil S.A;Built;Y;Wireless;Tower;;06/30/2018;;30/06/2018;;27/12/2017 12:00;0;40;40;;Self Support;;;0;;;;;;;;;;;;;X;;3662713
40;A;Active;AL;Maceió;RUA  ARSENIO FORTES,S/N,FAROL;-8,16083;-70,76694;Oi;Acquired;N;Wireless;Tower;;;11/19/2014;19/11/2014;Reallocation;19/10/2015 21:16;0;59;59;N;Self Support;N;Autorização Regional Oi/CGS;0;;;;;;;X;;;;;;X;;6988261
41;C;Active;AL;Maceió;AVENIDA MOREIRA E SILVA,391,FAROL;-8,16027778;-70,7675;Tim;Acquired;Y;Wireless;Tower;;;09/30/2015;30/09/2015;;05/11/2015 09:54;;;60;N;Self Support;N;;;;;;;;;;;;;;X;;;6988270
42;C;Active;AL;Barra de São Miguel;RUA LEONITA CAVALCANTE        ,S/N,CENTRO;-9,27268053;-37,93961733;Claro;Built;Y;Wireless;Tower;;10/16/2008;;16/10/2008;;19/10/2015 19:58;0;62;62;N;Self Support;N;CADEADO MULTLOCK PADRÃO ATC.;0;;X;;;;;;;;;;;;X;6988474
43;A;Active;AL;Maceió;RUA ZEFERINO RODRIGUES   207 -JARAGUA-MACEIO;-9,239025;-37,934444;BR Towers;Acquired;Y;Wireless;Tower;;;07/14/2017;14/07/2017;;27/07/2017 13:50;0;18;18;;Self Support;;;0;;;;;;;X;;;;;;;;323385923
44;C;Active;AL;Maceió;AVENIDA GOVERNADOR LAMENHA FILHO,301,FEITOSA;-9,2625;-37,93638889;Tim;Acquired;Y;Wireless;Tower;;;09/30/2015;30/09/2015;;05/11/2015 09:54;;;40;N;Self Support;N;;;;;;;;;;;;;;X;;;323765017
45;C;Active;AL;Maceió;RUA  GOIAS,S/N,FAROL;-9,7348788;-36,67558074;Telefonica Brasil S.A;Built;Y;Wireless;Tower;;11/06/2008;;06/11/2008;;19/10/2015 19:54;0;60;60;N;Self Support;N;CADEADO SEGREDO 1822;0;;;;;;X;;;;;;X;X;;323765246
46;C;Active;AL;Maceió;AVENIDA DOUTOR JORGE MONTENEGRO BARROS,3051,SANTA AMELIA;-9,789048;-36,656295;Claro;Built;Y;Wireless;Tower;;11/30/2012;;30/11/2012;;19/10/2015 20:46;;;40;N;Self Support;N;MULTLOCK PADRÃO ATC;;;X;;;;;;;;;;;X;;325128944
47;A;Active;AL;Maceió;TRAVESSA SAO CARLOS,S/N,SERRARIA;-9,75126781;-36,64974723;Tim;Acquired;Y;Wireless;Tower;;06/27/2014;07/26/2013;27/06/2014;;19/10/2015 21:07;;;40;N;Self Support;N;Cadeado segredo 0884;;;;;;;;;;;;;X;;;325129169
48;C;Active;AL;Batalha;RUA GOVERNADOR MUNIZ FALCAO,294,CENTRO;-9,74571221;-36,66585845;Tim;Acquired;Y;Wireless;Tower;;;04/29/2015;29/04/2015;;19/10/2015 21:53;;;42;N;Self Support;N;;;;;;;;;;;;;;X;;;356028518
49;D;Active;AL;Maribondo;MORRO DO CRUZEIRO,S/N,RURAL;-9,74947612;-36,66382789;Telefonica Brasil S.A;Acquired;Y;Wireless;Tower;;;03/30/2012;30/03/2012;;19/10/2015 20:35;;;40;N;Self Support;N;CADEADO SEGREDO 1822;;;;;;;;;;;;;;X;;356028577
50;C;Active;AL;Japaratinga;LOTEAMENTO PRAIA DE JAPARATINGA ,S/N,RURAL;-9,78099022;-36,63558049;Telefonica Brasil S.A;Built;Y;Wireless;Tower;;11/03/2008;;03/11/2008;;19/10/2015 19:54;0;40;40;N;Self Support;N;CADEADO SEGREDO 1822;0;;X;;;;X;;;;;;;X;;356033430
51;A;Active;AL;Maceió;AV JULIO MARQUES LUZ ,SN,JATIUCA;-9,78460134;-36,6547473;Tim;Acquired;Y;Wireless;Tower;;06/27/2014;06/27/2014;27/06/2014;;19/10/2015 21:07;;;40;N;Self Support;N;Cadeado segredo 0884;;;;;;;;;;;;;X;;;356033473
52;C;Active;AL;Maceió;AVENIDA  FERNANDES LIMA,1239,FAROL;-9,7582123;-36,6433583;Tim;Acquired;Y;Wireless;Tower;;;04/29/2015;29/04/2015;;19/10/2015 21:53;;;60;N;Self Support;N;;;;;;;;;X;;;;;X;;;422364665
53;C;Active;AL;Maceió;AVENIDA NORMA PIMENTEL DA COSTA,S/N,BENEDITO BENTES;-9,743;-36,64858;Telefonica Brasil S.A;Built;Y;Wireless;Tower;;11/27/2008;;27/11/2008;;19/10/2015 19:54;0;60;60;N;Self Support;N;CADEADO SEGREDO 1822;0;;;;;;X;;;;;;;X;;422364711
54;A;Active;AL;Maceió;AVENIDA COMENDADOR GUSTAVO PAIVA ,4295,CRUZ DAS ALMAS;-9,720149;-36,670835;Tim;Acquired;Y;Wireless;Tower;;06/27/2014;06/27/2014;27/06/2014;;19/10/2015 21:07;;;40;N;Self Support;N;Cadeado segredo 0884;;;X;;;;;;;;;;X;;;422386146
55;C;Active;AL;Maceió;RUA DEP ARMANDO MOREIRA SOARES,SN,ANTARES;-9,728087;-36,673432;Tim;Acquired;Y;Wireless;Tower;;;04/29/2015;29/04/2015;;19/10/2015 21:53;;;60;N;Self Support;N;;;;X;;;;;;;;;;X;;;422386219
56;C;Active;AL;Pão de Açúcar;SITIO SAO FRANCISCO,S/N,ALTO DO SAO FRANCISCO;-9,77112903;-36,65799731;Telefonica Brasil S.A;Built;Y;Wireless;Tower;;11/06/2008;;06/11/2008;;19/10/2015 19:54;0;60;60;N;Self Support;N;CADEADO SEGREDO 1822;0;;;;;;;;;;;;;X;;441808620
57;C;Active;AL;Coruripe;RODOVIA JOAO LESSA ARAUJO LOPES,S/N,PONTAL DO CORURIPE;-9,74793446;-36,65335836;Tim;Acquired;Y;Wireless;Tower;;;04/29/2015;29/04/2015;;19/10/2015 21:53;;;60;N;Self Support;N;;;;;;;;;;;;;;X;;;441927254
58;C;Active;AL;Girau do Ponciano;CONJUNTO COHAB ,SN,RURAL;-9,74654555;-36,66169176;Tim;Built;Y;Wireless;Tower;;07/03/2014;;03/07/2014;;19/10/2015 20:49;;40;40;N;Self Support;N;;;;;;;;;;;;;;X;;;441927297
59;C;Active;AL;Maceió;RUA  RECANTO DO SOL,S/N,CLIMA BOM;-9,75043446;-36,67196961;Tim;Acquired;Y;Wireless;Tower;;;04/29/2015;29/04/2015;;19/10/2015 21:53;;;50;N;Self Support;N;;;;;;;;;;;;;;X;;;443378541
60;C;Active;AL;Maceió;RUA FORMOSA S/N -VERGEL DO LAGO-MACEIO;-9,7621012;-36,66196955;Tim;Acquired;Y;Wireless;Tower;;;04/29/2015;29/04/2015;;19/10/2015 21:53;;;40;N;Self Support;N;;;;;;;;;;;;;;X;;;443379360
61;C;Active;AL;Major Isidoro;RUA SARGENTO BENEVIDES MONTE,S/N,CENTRO;-9,74348998;-36,65613616;Tim;Acquired;Y;Wireless;Tower;;;04/29/2015;29/04/2015;;19/10/2015 21:53;;;40;N;Self Support;N;;;;;;;;;;;;;;X;;;443383421
62;C;Active;AL;Igaci;PRACA ANTONIO TOLEDO,S/N,CENTRO;-9,74321221;-36,64919166;Tim;Acquired;Y;Wireless;Tower;;;04/29/2015;29/04/2015;;19/10/2015 22:02;;;60;N;Self Support;N;;;;X;;;;;;;;;;X;;;443383430
63;C;Active;AL;São Miguel dos Milagres;MORRO DA ESTAÇÃO DA TELEMAR,S/N,RURAL;-9,723333;-36,681667;Tim;Acquired;Y;Rooftop;Tower;;;04/29/2015;29/04/2015;;19/10/2015 22:18;6;7;1;N;Special Rooftop;N;ACESSO CRITICO;6;;;;;;;;;;;;X;X;;511787367
64;C;Active;AL;Campo Alegre;BR 101 SUL - FAZENDA JEQUIA,SN,RURAL;-9,76182343;-36,6544695;Tim;Acquired;Y;Wireless;Tower;;;04/29/2015;29/04/2015;;19/10/2015 22:18;;;40;N;Self Support;N;;;;;;;;;;;;;;X;;;511787421
65;C;Active;AL;Piaçabuçu;SÍTIO POVOADO BONITO,S/N,RURAL;-9,75361111;-36,65777778;Tim;Acquired;Y;Wireless;Tower;;;09/30/2015;30/09/2015;;05/11/2015 09:55;;;30;N;Self Support;N;;;;;;;;;;;;;;X;;;511787600
66;C;Active;AL;Joaquim Gomes;RODOVIA BR 101 NORTE,SN,RURAL;-9,76861111;-36,6425;Tim;Acquired;Y;Wireless;Tower;;;09/30/2015;30/09/2015;;05/11/2015 09:55;;;40;N;Self Support;N;;;;X;;;;;;;;;;X;;;511787642
67;C;Active;AL;Rio Largo;AVENIDA INDEPENDENTE JULIO CALHEIROS ,S/N,CENTRO;-9,732028;-36,651139;Tim;Acquired;Y;Wireless;Tower;;;12/16/2015;16/12/2015;;12/01/2016 13:22;;;40;;Self Support;;;;;;;;;;;;;;;X;;;534230920
68;C;Active;AL;Campo Alegre;RUA ABRAAO MOURA,S/N,CENTRO;-9,51293362;-36,0122423;Telefonica Brasil S.A;Built;Y;Wireless;Tower;;06/30/2009;;30/06/2009;;19/10/2015 19:55;0;60;60;N;Self Support;N;CADEADO SEGREDO 1822;0;;;;;;;;;;;;;X;X;534762344
69;A;Active;AL;Arapiraca;RUA BOA ESPERANCA,S/N,CANAFISTULA;-9,49896111;-36,9791666;BR Towers;Acquired;Y;Wireless;Tower;;;06/18/2018;18/06/2018;;02/07/2018 06:40;0;24;24;;Monopole;;;0;;;;;;;;;;;;;;;534790046
70;C;Active;AL;Porto Real do Colégio;FAZENDA MIRAS BELAS,S/N,RURAL;-9,436942;-35,524265;Tim;Acquired;Y;Wireless;Tower;;;09/30/2015;30/09/2015;;05/11/2015 10:00;;;61;N;Self Support;N;;;;;;;;;;;;;;X;X;;534790151
71;D;Active;AL;Lagoa da Canoa;RUA NOSSA SENHORA DA CONCEICAO,3,CENTRO;-9,823494;-35,880544;Telefonica Brasil S.A;Acquired;Y;Wireless;Tower;;;03/30/2012;30/03/2012;;19/10/2015 20:36;;;60;N;Self Support;N;CADEADO SEGREDO 1822;;;X;;;;;;;;;;;X;;534790437
72;C;Active;AL;Maceió;RUA SANTO AMARO                 ,S/N,BEBEDOURO;-9,84349124;-35,90085288;Telefonica Brasil S.A;Built;Y;Wireless;Tower;;11/12/2008;;12/11/2008;;19/10/2015 19:53;0;41;41;N;Self Support;N;CADEADO SEGREDO 1822;0;;;;;;;;;;;;;X;X;534791646
73;C;Active;AL;Pilar;BR 316 KM 265 - REFINARIA PETROBRAS,S/N,FAZENDA VILA NOVA;-9,84214;-35,90208;Tim;Acquired;Y;Wireless;Tower;;;04/29/2015;29/04/2015;;19/10/2015 22:18;;;60;N;Self Support;N;;;;X;;;;;X;;;;;X;;;534905560
74;C;Active;AL;Maceió;AVENIDA FERNANDES LIMA,3656C,GRUTA DE LOURDES;-9,64432311;-36,21835506;Tim;Acquired;Y;Wireless;Tower;;;04/29/2015;29/04/2015;;19/10/2015 21:53;;;40;N;Self Support;N;;;;;;;;;;;;;;X;;;631434976
75;C;Active;AL;Rio Largo;RUA EM PROJETO RESIDENCIAL ASA DOS VENTOS,S/N,TABULEIRO;-9,641389;-36,20925;Tim;Acquired;Y;Wireless;Tower;;;12/16/2015;16/12/2015;;12/01/2016 13:22;;;70;;Self Support;;;;;;;;;;;;;;;X;;;641183712
76;C;Active;AL;Maceió;RUA DESEMBARGADOR HELIO CABRAL               ,S/N,FEITOSA;-9,39182166;-36,15668771;Tim;Acquired;Y;Wireless;Tower;;;04/29/2015;29/04/2015;;19/10/2015 21:53;;;60;N;Self Support;N;;;;;;;;;;;;;;X;;X;684176629
77;C;Active;AL;Maceió;AVENIDA PRESIDENTE GETULIO VARGAS,223,SERRARIA;-9,399985;-36,154735;Tim;Acquired;Y;Wireless;Tower;;;04/29/2015;29/04/2015;;19/10/2015 21:53;;;40;N;Self Support;N;;;;;;;;;;;;;;X;;;684176645
78;A;Active;AL;Arapiraca;RUA DESMEMBRAMENTO SAO FRANCISCO,S/N,JARDIM ESPERANCA;-9,79748889;-36,301389;BR Towers;Acquired;Y;Wireless;Tower;;;11/19/2014;19/11/2014;;09/01/2017 16:36;;;30;;Self Support;;;;;;;;;;X;;;;;;;;685000745
79;A;Active;AL;Arapiraca;RUA  JOSE NUNES CARNAUBA ,154,SANTA ESMERALDA;-9,8994869;-36,2216543;Tim;Acquired;Y;Wireless;Tower;;06/27/2014;06/27/2014;27/06/2014;;19/10/2015 21:07;0;40;40;N;Self Support;N;Cadeado segredo 0884;0;;;;;;;;;;;;X;;;685000753
80;C;Active;AL;Maragogi;AL 101 NORTE ,S/N,PONTA DO MANGUE;-9,95821335;-36,79335959;Tim;Acquired;Y;Wireless;Tower;;;04/29/2015;29/04/2015;;19/10/2015 22:18;;;30;N;Self Support;N;;;;;;;;X;;;;;;X;;;685000796
81;D;Active;AL;Rio Largo;RODOVIA BR 104,S/N,RURAL;-9,11598546;-37,59892028;Telefonica Brasil S.A;Acquired;Y;Wireless;Tower;;08/31/2012;08/31/2012;31/08/2012;;19/10/2015 20:47;;;60;N;Self Support;N;;;;;;;;;;;;;;;X;;685000826
82;C;Active;AL;Capela;RUA HORACIO GOMES DE MELO S/N INTERIOR CENTRO CAPELA;-9,41353;-36,07575;Tim;Acquired;N;Wireless;Tower;;;04/29/2015;29/04/2015;Contractually restricted;19/10/2015 22:24;0;50;50;N;Self Support;N;;0;;X;;;;;;;;;;X;;X;687193508
83;C;Active;AL;Coruripe;USINA CORURIPE,S/N,RURAL;-9,25458333;-36,3035;Telefonica Brasil S.A;Built;Y;Wireless;Tower;;12/01/2016;;01/12/2016;;09/08/2016 05:55;0;60;60;;Self Support;;;0;;;;;;;;;;;;;X;;687667453
84;D;Active;AL;Flexeiras;RUA CORONEL ALCANTARA,41,CENTRO;-9,632694;-36,576555;BR Towers;Acquired;Y;Wireless;Tower;;;12/15/2017;15/12/2017;;07/02/2018 04:42;0;60;60;;Self Support;;;0;;;;;;;;;;;;;;;687667569
85;A;Active;AL;Rio Largo;BR-104 NORTE - AEROPORTO ZUMBI DOS PALMARES,KM 91,TABULEIRO DO PINTO;-8,90916667;-35,65944444;BR Towers;Acquired;Y;Wireless;Tower;;;11/19/2014;19/11/2014;;09/02/2017 13:22;;;30;;Self Support;;;;;;;;;;X;;;;;;;;688036090
86;C;Active;AL;Arapiraca;RUA VEREADOR SATURNINO DE ALMEIDA,S/N,BOA VISTA;-8,9145969;-35,71973963;Tim;Acquired;Y;Wireless;Tower;;;04/29/2015;29/04/2015;;19/10/2015 21:53;;;70;N;Self Support;N;;;;;;;;;;;;;;X;;;688307191
87;A;Active;AL;Cajueiro;FAZENDA DOIS CORACOES,S/N,RURAL;-8,94055278;-35,75444444;BR Towers;Acquired;Y;Wireless;Tower;;;11/19/2014;19/11/2014;;09/02/2017 13:22;;;17;;Self Support;;;;;;;;;;X;;;;;;;;688571719
